region_lluvias_fecha_solicitud,cve_concatenada,cve_ent,cve_mun,nombre_mun,entidad,org_cuenca,clv_oc,con_cuenca,cve_conc,msm_20260131,sps_20260131,ahorro_uso_eficiente_20260131,prob_ambiental,t_prob_ambiental,prob_economica,t_prob_economica,prob_social,t_prob_social
Region A - Primeros Quince dias habiles de cada Diciembre,1001,1,1,Aguascalientes,Aguascalientes,Lerma Santiago Pacifico,VIII,Rio Santiago,16,sin dato,SIN SEQUIA,SIN REDUCCION,79.37,Alta,89.94,Muy Alta,74.87431238,Alta
Region A - Primeros Quince dias habiles de cada Diciembre,1002,1,2,Asientos,Aguascalientes,Lerma Santiago Pacifico,VIII,Rio Santiago,16,sin dato,SIN SEQUIA,SIN REDUCCION,66.02,Alta,74.65,Alta,13.54891704,Muy Baja
Region A - Primeros Quince dias habiles de cada Diciembre,1003,1,3,Calvillo,Aguascalientes,Lerma Santiago Pacifico,VIII,Rio Santiago,16,sin dato,SIN SEQUIA,SIN REDUCCION,1.84,Muy Baja,64.6,Alta,26.19849489,Baja
Region A - Primeros Quince dias habiles de cada Diciembre,1004,1,4,Cosio,Aguascalientes,Lerma Santiago Pacifico,VIII,Rio Santiago,16,sin dato,SIN SEQUIA,SIN REDUCCION,54.0,Media,65.97,Alta,8.701748664,Muy Baja
Region A - Primeros Quince dias habiles de cada Diciembre,1005,1,5,Jesus Maria,Aguascalientes,Lerma Santiago Pacifico,VIII,Rio Santiago,16,sin dato,SIN SEQUIA,SIN REDUCCION,27.57,Baja,81.85,Muy Alta,14.47665923,Muy Baja
Region A - Primeros Quince dias habiles de cada Diciembre,1006,1,6,Pabellon de Arteaga,Aguascalientes,Lerma Santiago Pacifico,VIII,Rio Santiago,16,sin dato,SIN SEQUIA,SIN REDUCCION,24.6,Baja,85.7,Muy Alta,14.73368896,Muy Baja
Region A - Primeros Quince dias habiles de cada Diciembre,1007,1,7,Rincon de Romos,Aguascalientes,Lerma Santiago Pacifico,VIII,Rio Santiago,16,sin dato,SIN SEQUIA,SIN REDUCCION,68.63,Alta,53.42,Media,16.10817335,Muy Baja
Region A - Primeros Quince dias habiles de cada Diciembre,1008,1,8,San Jose de Gracia,Aguascalientes,Lerma Santiago Pacifico,VIII,Rio Santiago,16,sin dato,SIN SEQUIA,SIN REDUCCION,93.86,Muy Alta,54.24,Media,3.694004767,Muy Baja
Region A - Primeros Quince dias habiles de cada Diciembre,1009,1,9,Tepezala,Aguascalientes,Lerma Santiago Pacifico,VIII,Rio Santiago,16,sin dato,SIN SEQUIA,SIN REDUCCION,41.03,Media,49.02,Media,7.307944638,Muy Baja
Region A - Primeros Quince dias habiles de cada Diciembre,1010,1,10,El Llano,Aguascalientes,Lerma Santiago Pacifico,VIII,Rio Santiago,16,sin dato,SIN SEQUIA,SIN REDUCCION,38.38,Baja,63.46,Alta,24.50730936,Baja
Region A - Primeros Quince dias habiles de cada Diciembre,1011,1,11,San Francisco de los Romo,Aguascalientes,Lerma Santiago Pacifico,VIII,Rio Santiago,16,sin dato,SIN SEQUIA,SIN REDUCCION,82.53,Muy Alta,88.04,Muy Alta,26.4326294,Baja
Region B - Primeros 8 dias habiles de abril,2001,2,1,Ensenada,Baja California,Peninsula de Baja California,I,Baja California,2,sin dato,SIN SEQUIA,SIN REDUCCION,31.18,Baja,14.32,Muy Baja,28.24133017,Baja
Region B - Primeros 8 dias habiles de abril,2002,2,2,Mexicali,Baja California,Peninsula de Baja California,I,Baja California,2,sin dato,SIN SEQUIA,SIN REDUCCION,73.41,Alta,83.22,Muy Alta,24.96958072,Baja
Region B - Primeros 8 dias habiles de abril,2003,2,3,Tecate,Baja California,Peninsula de Baja California,I,Baja California,2,sin dato,SIN SEQUIA,SIN REDUCCION,49.07,Media,64.17,Alta,41.0841919,Media
Region B - Primeros 8 dias habiles de abril,2004,2,4,Tijuana,Baja California,Peninsula de Baja California,I,Baja California,2,sin dato,SIN SEQUIA,SIN REDUCCION,97.49,Muy Alta,96.56,Muy Alta,30.08916388,Baja
Region B - Primeros 8 dias habiles de abril,2005,2,5,Playas de Rosarito,Baja California,Peninsula de Baja California,I,Baja California,2,sin dato,SIN SEQUIA,SIN REDUCCION,72.85,Alta,54.84,Media,61.20624099,Alta
Region B - Primeros 8 dias habiles de abril,2006,2,6,San Quintin,Baja California,Peninsula de Baja California,I,Baja California,2,sin dato,SIN SEQUIA,SIN REDUCCION,,,,,,
Region B - Primeros 8 dias habiles de abril,2007,2,7,San Felipe,Baja California,Peninsula de Baja California,I,Baja California,2,sin dato,SIN SEQUIA,SIN REDUCCION,,,,,,
Region A - Primeros Quince dias habiles de cada Diciembre,3001,3,1,Comondu,Baja California Sur,Peninsula de Baja California,I,Baja California Sur,1,sin dato,SIN SEQUIA,SIN REDUCCION,24.5,Baja,28.5,Baja,55.73417301,Media
Region B - Primeros 8 dias habiles de abril,3002,3,2,Mulege,Baja California Sur,Peninsula de Baja California,I,Baja California Sur,1,sin dato,SIN SEQUIA,SIN REDUCCION,6.62,Muy Baja,18.17,Muy Baja,91.32374822,Muy Alta
Region A - Primeros Quince dias habiles de cada Diciembre,3003,3,3,La Paz,Baja California Sur,Peninsula de Baja California,I,Baja California Sur,1,sin dato,SIN SEQUIA,SIN REDUCCION,17.6,Muy Baja,7.05,Muy Baja,2.395549309,Muy Baja
Region A - Primeros Quince dias habiles de cada Diciembre,3008,3,8,Los Cabos,Baja California Sur,Peninsula de Baja California,I,Baja California Sur,1,sin dato,SIN SEQUIA,SIN REDUCCION,29.51,Baja,57.46,Media,54.07299668,Media
